sent_id	tok_i_id	tok_j_id	upos_i	upos_j	deprel_i	deprel_j	lang_i	lang_j	switch	relation
1032	2	3	NOUN	VERB	obj	root	en	te	true	within
1033	1	2	PRON	NOUN	nsubj	obj	te	en	true	within
1033	2	3	NOUN	VERB	obj	root	en	te	true	within
1034	1	2	NOUN	NOUN	nsubj	obj	en	en	false	within
1034	2	3	NOUN	VERB	obj	root	en	te	true	within
1035	1	2	PRON	NOUN	nsubj	obj	te	en	true	within
1035	2	3	NOUN	VERB	obj	root	en	te	true	within
1036	1	2	DET	NOUN	det	root	te	en	true	within
1036	2	3	NOUN	NOUN	root	nmod	en	en	false	within
1036	3	4	NOUN	VERB	nmod	nsubj	en	te	true	within
1	1	2	NOUN	NOUN	nmod	nmod	en	en	false	within
1	2	3	NOUN	VERB	nmod	root	en	en	false	within
1	3	4	VERB	VERB	root	dep	en	te	true	within
2	1	2	NOUN	VERB	nmod	dep	te	en	true	within
2	2	3	VERB	VERB	dep	root	en	te	true	within
3	1	2	NOUN	NOUN	nmod	root	en	en	false	within
3	2	3	NOUN	ADJ	root	advmod	en	te	true	within
4	1	2	NOUN	ADP	nmod	case	en	te	true	within
4	2	3	ADP	NOUN	case	nsubj	te	en	true	within
4	3	4	NOUN	VERB	nsubj	root	en	te	true	within
5	1	2	VERB	PRON	advcl	nmod	te	te	false	boundary
5	2	3	PRON	NOUN	nmod	obj	te	en	true	within
5	3	4	NOUN	VERB	obj	root	en	te	true	within
6	1	2	PRON	DET	nsubj	det	te	te	false	boundary
6	2	3	DET	NOUN	det	obj	te	en	true	within
6	3	4	NOUN	VERB	obj	root	en	te	true	within
7	1	2	PRON	DET	nsubj	det	te	te	false	boundary
7	2	3	DET	NOUN	det	obj	te	en	true	within
7	3	4	NOUN	VERB	obj	root	en	te	true	within
9	1	2	PRON	DET	nsubj	det	te	te	false	boundary
9	2	3	DET	ADJ	det	amod	te	en	true	within
9	3	4	ADJ	NOUN	amod	obl	en	te	true	within
9	4	5	NOUN	VERB	obl	root	te	te	false	within
10	1	2	PRON	NOUN	nmod	root	te	en	true	within
10	2	3	NOUN	ADV	root	advmod	en	te	true	within
10	3	4	ADV	ADV	advmod	advmod	te	te	false	within
10	4	5	ADV	NOUN	advmod	obj	te	te	false	within
11	1	2	VERB	PRON	root	obj	te	te	false	within
11	2	3	PRON	NOUN	obj	obj	te	en	true	within
12	1	2	PRON	NOUN	nmod	nsubj	te	en	true	within
12	2	3	NOUN	PRON	nsubj	root	en	te	true	within
13	1	2	PRON	NOUN	nsubj	obl	te	en	true	within
13	2	3	NOUN	ADP	obl	case	en	te	true	within
13	3	4	ADP	VERB	case	root	te	te	false	boundary
14	1	2	PRON	VERB	nsubj	root	te	te	false	within
14	2	3	VERB	NOUN	root	xcomp	te	en	true	within
15	1	2	PRON	PRON	nsubj	obl	te	te	false	within
15	2	3	PRON	ADP	obl	case	te	te	false	within
15	3	4	ADP	NOUN	case	obj	te	en	true	boundary
15	4	5	NOUN	VERB	obj	root	en	te	true	within
16	1	2	PRON	ADV	nsubj	advmod	te	te	false	within
16	2	3	ADV	NOUN	advmod	obj	te	en	true	within
16	3	4	NOUN	VERB	obj	root	en	te	true	within
17	1	2	PRON	NOUN	nsubj	compound	te	en	true	within
17	2	3	NOUN	VERB	compound	root	en	te	true	within
18	1	2	NOUN	VERB	obj	root	en	te	true	within
19	1	2	PRON	NOUN	nsubj	nmod	te	te	false	within
19	2	3	NOUN	NOUN	nmod	root	te	en	true	within
20	1	2	PRON	PRON	nsubj	nmod	te	te	false	boundary
20	2	3	PRON	NOUN	nmod	nmod	te	en	true	within
20	3	4	NOUN	NOUN	nmod	root	en	te	true	within
21	1	2	PRON	NOUN	obj	nsubj	te	en	true	within
21	2	3	NOUN	VERB	nsubj	root	en	te	true	within
22	1	2	PRON	NOUN	obj	nsubj	te	en	true	within
22	2	3	NOUN	VERB	nsubj	root	en	te	true	within
23	1	2	PRON	NOUN	nsubj	obj	te	en	true	boundary
23	2	3	NOUN	VERB	obj	advcl	en	te	true	within
23	3	4	VERB	VERB	advcl	root	te	te	false	within
24	1	2	NOUN	VERB	obj	advcl	en	te	true	within
24	2	3	VERB	PRON	advcl	nsubj	te	te	false	within
24	3	4	PRON	VERB	nsubj	root	te	te	false	within
25	1	2	PROPN	PROPN	nsubj	iobj	te	te	false	within
25	2	3	PROPN	NOUN	iobj	obj	te	en	true	within
25	3	4	NOUN	VERB	obj	root	en	te	true	within
26	1	2	PRON	NOUN	nsubj	obj	te	en	true	within
26	2	3	NOUN	VERB	obj	root	en	te	true	within
27	1	2	PROPN	PRON	nsubj	iobj	te	te	false	within
27	2	3	PRON	NOUN	iobj	obj	te	en	true	within
27	3	4	NOUN	VERB	obj	root	en	te	true	within
28	1	2	PRON	PROPN	nsubj	compound	te	en	true	within
28	2	3	PROPN	PRON	compound	root	en	te	true	within
29	1	2	PRON	PROPN	nsubj	compound	te	en	true	boundary
29	2	3	PROPN	PRON	compound	obj	en	te	true	within
29	3	4	PRON	VERB	obj	root	te	te	false	within
30	1	2	PRON	NOUN	nsubj	obj	te	en	true	within
30	2	3	NOUN	VERB	obj	root	en	te	true	within
31	1	2	PRON	NOUN	nsubj	obj	te	en	true	within
31	2	3	NOUN	ADV	obj	advmod	en	te	true	within
31	3	4	ADV	VERB	advmod	root	te	te	false	within
32	1	2	PRON	NOUN	nsubj	obj	te	en	true	within
32	2	3	NOUN	VERB	obj	root	en	te	true	within
33	1	2	PRON	NOUN	nsubj	obj	te	en	true	within
33	2	3	NOUN	VERB	obj	root	en	te	true	within
34	1	2	NOUN	VERB	nsubj	advcl	en	te	true	within
34	2	4	VERB	NOUN	advcl	nsubj	te	te	false	within
34	4	5	NOUN	VERB	nsubj	root	te	te	false	within
35	1	2	NOUN	ADV	nsubj	advmod	en	te	true	within
35	2	3	ADV	VERB	advmod	root	te	te	false	within
36	1	2	PRON	DET	nsubj	det	te	te	false	boundary
36	2	3	DET	NOUN	det	nmod	te	en	true	within
36	3	4	NOUN	NOUN	nmod	root	en	te	true	within
37	1	2	PROPN	PROPN	nsubj	nsubj	te	te	false	boundary
37	2	3	PROPN	VERB	nsubj	acl	te	te	false	within
37	3	4	VERB	NOUN	acl	obj	te	en	true	within
37	4	5	NOUN	VERB	obj	root	en	te	true	within
38	1	2	NOUN	VERB	obj	acl	en	te	true	within
38	2	3	VERB	NOUN	acl	nsubj	te	te	false	within
38	3	4	NOUN	NOUN	nsubj	obl	te	te	false	within
38	4	5	NOUN	ADP	obl	case	te	te	false	within
38	5	6	ADP	VERB	case	root	te	te	false	boundary
39	1	2	PRON	NOUN	nmod	nsubj	te	en	true	within
39	2	3	NOUN	VERB	nsubj	ccomp	en	te	true	within
39	3	5	VERB	DET	ccomp	det	te	te	false	boundary
39	5	6	DET	NOUN	det	obj	te	en	true	within
39	6	7	NOUN	ADV	obj	advmod	en	te	true	within
39	7	8	ADV	VERB	advmod	root	te	te	false	within
40	1	2	NOUN	NOUN	obl	obl	en	te	true	within
40	2	3	NOUN	VERB	obl	root	te	te	false	within
41	1	2	PRON	NOUN	nmod	obl	te	te	false	within
41	2	3	NOUN	DET	obl	det	te	te	false	boundary
41	3	4	DET	NOUN	det	nsubj	te	en	true	within
41	4	5	NOUN	VERB	nsubj	root	en	te	true	within
42	1	2	PRON	DET	nsubj	det	te	te	false	boundary
42	2	3	DET	NOUN	det	compound	te	en	true	within
42	3	4	NOUN	NOUN	compound	obj	en	en	false	within
42	4	5	NOUN	VERB	obj	root	en	te	true	within
43	1	2	PROPN	ADV	nsubj	advmod	te	te	false	within
43	2	3	ADV	NUM	advmod	nummod	te	en	true	boundary
43	3	4	NUM	NOUN	nummod	obl	en	en	false	within
43	4	5	NOUN	VERB	obl	root	en	te	true	within
44	1	2	NOUN	NOUN	nummod	nsubj	te	en	true	within
44	2	3	NOUN	VERB	nsubj	root	en	en	false	within
44	3	4	VERB	VERB	root	obj	en	te	true	within
45	1	2	PRON	PROPN	nsubj	nmod	te	en	true	within
45	2	3	PROPN	NOUN	nmod	root	en	en	false	within
45	3	4	NOUN	VERB	root	nsubj	en	te	true	within
45	4	5	VERB	ADJ	nsubj	xcomp	te	te	false	within
46	1	2	NUM	ADP	obl	case	en	te	true	within
46	2	3	ADP	NOUN	case	root	te	en	true	within
46	3	4	NOUN	VERB	root	compound	en	te	true	within
47	1	2	PROPN	PRON	nsubj	obl	en	te	true	within
47	2	3	PRON	DET	obl	det	te	_	unknown	within
47	3	4	DET	NOUN	det	root	_	en	unknown	within
47	4	5	NOUN	VERB	root	compound	en	te	true	within
48	1	2	ADV	ADJ	advmod	amod	en	te	true	within
48	2	3	ADJ	VERB	amod	root	te	te	false	within
49	1	2	PROPN	PROPN	compound	nsubj	en	en	false	within
49	2	3	PROPN	ADV	nsubj	advmod	en	te	true	within
49	3	4	ADV	ADJ	advmod	root	te	te	false	within
50	1	2	NOUN	PRON	obl	nsubj	en	te	true	within
50	2	3	PRON	NOUN	nsubj	obl	te	te	false	within
50	3	4	NOUN	VERB	obl	root	te	te	false	within
51	1	2	NOUN	PRON	obl	nsubj	en	te	true	within
51	2	3	PRON	NOUN	nsubj	obl	te	te	false	within
51	3	4	NOUN	VERB	obl	root	te	te	false	within
52	1	2	PRON	DET	iobj	det	te	te	false	boundary
52	2	3	DET	NOUN	det	obj	te	en	true	within
52	3	4	NOUN	VERB	obj	compound	en	te	true	within
52	4	5	VERB	VERB	compound	root	te	te	false	within
53	1	2	PRON	NOUN	nmod	obj	te	en	true	within
53	2	3	NOUN	PRON	obj	nsubj	en	te	true	within
53	3	4	PRON	VERB	nsubj	compound	te	te	false	within
53	4	5	VERB	VERB	compound	root	te	te	false	within
54	1	2	PRON	NOUN	nsubj	obj	te	en	true	within
54	2	3	NOUN	VERB	obj	root	en	te	true	within
55	1	2	PRON	DET	nsubj	det	te	te	false	boundary
55	2	3	DET	NOUN	det	obl	te	te	false	within
55	3	4	NOUN	NOUN	obl	compound	te	te	false	within
55	4	5	NOUN	VERB	compound	root	te	te	false	within
56	1	2	PRON	PRON	nsubj	nmod	te	te	false	within
56	2	3	PRON	NOUN	nmod	root	te	en	true	within
57	1	2	PRON	NOUN	nsubj	obj	te	en	true	within
57	2	3	NOUN	VERB	obj	root	en	te	true	within
58	1	2	PRON	NOUN	nsubj	obj	te	en	true	within
58	2	3	NOUN	VERB	obj	root	en	te	true	within
59	1	2	NOUN	NOUN	nsubj	obj	en	te	true	within
59	2	3	NOUN	VERB	obj	root	te	te	false	within
60	1	2	PRON	NOUN	nsubj	obj	te	en	true	within
60	2	3	NOUN	VERB	obj	root	en	te	true	within
61	1	2	DET	NOUN	det	root	te	en	true	within
61	2	3	NOUN	NOUN	root	nmod	en	en	false	within
61	3	4	NOUN	VERB	nmod	nsubj	en	te	true	within
62	1	2	NOUN	NOUN	nsubj	obj	en	en	false	within
62	2	3	NOUN	VERB	obj	root	en	te	true	within
