sent_id	token_id	upos	head	deprel	lang
train-s8	16	INTJ	18	nsubj	hi
train-s8	18	VERB	6	conj	hi
train-s8	19	AUX	18	aux	hi
train-s8	20	AUX	18	aux	hi
train-s9	1	ADV	8	advmod	hi
train-s9	2	ADP	1	case	hi
train-s9	3	VERB	8	advcl	hi
train-s9	4	AUX	3	aux	hi
train-s9	5	NOUN	7	nmod	en
train-s9	6	ADP	5	case	hi
train-s9	7	NOUN	8	compound	en
train-s9	8	VERB	0	root	hi
train-s9	9	AUX	8	aux	hi
train-s9	10	AUX	8	aux	hi
train-s9	11	CCONJ	14	cc	en
train-s9	12	ADV	14	advmod	en
train-s9	13	PRON	14	nsubj	en
train-s9	14	VERB	8	conj	en
train-s9	15	SCONJ	19	mark	en
train-s9	16	PRON	19	nsubj	en
train-s9	17	AUX	19	cop	en
train-s9	18	DET	19	det	en
train-s9	19	NOUN	14	obj	en
train-s9	20	PRON	23	nsubj	en
train-s9	21	AUX	23	aux	en
train-s9	22	PART	23	advmod	en
train-s9	23	VERB	19	acl:relcl	en
train-s10	4	NOUN	6	nmod	hi
train-s10	5	ADP	4	case	hi
train-s10	6	NOUN	10	nsubj	hi
train-s10	8	ADP	7	case	hi
train-s10	9	NOUN	10	compound	en
train-s10	10	VERB	0	root	hi
train-s10	11	AUX	10	aux	hi
train-s10	12	AUX	10	aux	hi
train-s10	13	NOUN	10	obl	en
train-s10	14	ADP	13	case	hi
train-s11	2	PART	1	advmod	hi
train-s11	3	PRON	5	nmod	hi
train-s11	4	PART	5	advmod	en
train-s11	5	NOUN	0	root	en
train-s11	6	PART	5	advmod	hi
train-s11	7	AUX	5	cop	hi
train-s11	8	CCONJ	12	cc	hi
train-s11	10	PART	9	advmod	hi
train-s11	11	ADV	12	advmod	en
train-s11	12	NOUN	5	conj	en
train-s11	13	AUX	12	cop	hi
train-s12	1	ADV	2	advmod	hi
train-s12	2	VERB	0	root	hi
train-s12	3	PART	2	advmod	hi
train-s12	4	PART	2	advmod	hi
train-s12	5	AUX	2	aux	hi
train-s12	7	ADP	6	case	hi
train-s12	8	VERB	11	advcl	hi
train-s12	9	SCONJ	8	mark	hi
train-s12	10	NOUN	11	nsubj	en
train-s12	11	VERB	2	advcl	hi
train-s12	12	AUX	11	aux	hi
train-s12	13	NOUN	10	nmod	en
train-s12	14	ADP	13	case	hi
train-s13	1	NOUN	4	obj	en
train-s13	2	PART	1	advmod	hi
train-s13	3	ADV	4	advmod	hi
train-s13	4	VERB	0	root	hi
train-s13	5	AUX	4	aux	hi
train-s13	6	AUX	4	aux	hi
train-s13	7	ADV	11	advmod	hi
train-s13	8	PART	7	advmod	hi
train-s13	9	NOUN	10	compound	en
train-s13	10	NOUN	11	obj	en
train-s13	11	VERB	3	acl:relcl	hi
train-s13	12	AUX	11	aux	hi
train-s13	13	AUX	11	aux	hi
train-s14	1	ADP	4	case	en
train-s14	2	DET	4	det	en
train-s14	3	ADJ	4	amod	en
train-s14	4	NOUN	9	obl	en
train-s14	6	PRON	9	nsubj	hi
train-s14	7	NOUN	9	obj	hi
train-s14	8	PART	9	advmod	hi
train-s14	9	VERB	0	root	hi
train-s15	1	SCONJ	5	mark	en
train-s15	3	CCONJ	4	cc	en
train-s15	5	VERB	15	advcl	en
train-s15	6	PART	7	mark	en
train-s15	7	VERB	5	xcomp	en
train-s15	9	ADP	10	case	en
train-s15	11	SCONJ	15	mark	hi
train-s15	12	PRON	15	nsubj	hi
train-s15	13	NOUN	14	compound	en
train-s15	14	NOUN	15	compound	en
train-s15	15	VERB	0	root	hi
train-s15	16	AUX	15	aux	hi
train-s16	2	NOUN	3	nsubj	hi
train-s16	3	VERB	7	csubj	hi
train-s16	4	AUX	7	cop	en
train-s16	5	ADV	7	advmod	en
train-s16	6	ADV	7	advmod	en
train-s16	7	ADJ	0	root	en
train-s16	8	SCONJ	11	mark	en
train-s16	9	ADV	11	mark	en
train-s16	10	PRON	11	nsubj	en
train-s16	11	VERB	7	advcl	en
train-s16	12	NOUN	13	nsubj	hi
train-s16	13	VERB	17	advcl	hi
train-s16	14	ADV	17	advmod	hi
train-s16	15	PRON	17	nsubj	hi
train-s16	16	VERB	17	advcl	hi
train-s16	17	VERB	11	xcomp	hi
train-s16	18	PART	17	advmod	hi
train-s17	1	VERB	0	root	en
train-s17	2	PART	1	advmod	en
train-s17	3	ADP	6	case	en
train-s17	4	NOUN	6	nmod	hi
train-s17	5	ADP	4	case	hi
train-s17	6	NOUN	1	obj	hi
train-s17	7	NOUN	1	nmod	en
train-s17	8	ADV	11	advmod	en
train-s17	9	ADP	11	case	en
train-s17	10	DET	11	det	en
train-s17	11	NOUN	1	obl	en
train-s18	1	ADJ	2	amod	hi
train-s18	2	NOUN	9	nmod	hi
train-s18	4	ADP	3	case	hi
train-s18	5	NOUN	6	compound	en
train-s18	6	NOUN	8	nmod	en
train-s18	7	ADP	6	case	hi
train-s18	8	NOUN	9	nsubj	en
train-s18	9	VERB	0	root	hi
train-s18	10	AUX	9	aux	hi
train-s19	2	ADP	1	case	hi
train-s19	3	NOUN	5	nmod	en
train-s19	4	ADP	3	case	hi
train-s19	5	NOUN	8	nsubj	en
train-s19	6	AUX	8	cop	en
train-s19	7	ADV	8	advmod	en
train-s19	8	ADJ	0	root	en
train-s20	1	CCONJ	4	cc	en
train-s20	2	PRON	4	nsubj	en
train-s20	3	AUX	4	aux	en
train-s20	4	VERB	0	root	en
train-s20	5	ADV	7	advmod	hi
train-s20	6	ADJ	7	xcomp	hi
train-s20	7	VERB	4	xcomp	hi
train-s20	8	AUX	7	aux	hi
train-s20	9	ADV	11	advmod	hi
train-s20	10	ADJ	11	xcomp	hi
train-s20	11	VERB	7	conj	hi
train-s20	12	AUX	11	aux	hi
train-s21	2	NOUN	8	nmod	hi
train-s21	3	NOUN	8	nsubj	hi
train-s21	4	NOUN	6	obl	hi
train-s21	5	ADP	4	case	hi
train-s21	6	VERB	8	advcl	hi
train-s21	7	AUX	6	aux	hi
train-s21	8	VERB	0	root	hi
train-s21	10	AUX	13	aux	en
train-s21	11	PART	13	advmod	en
train-s21	12	PRON	13	nsubj	en
train-s21	13	VERB	8	xcomp	en
train-s21	14	PRON	13	expl	en
train-s22	1	ADJ	2	amod	en
train-s22	2	NOUN	8	obl	en
train-s22	3	ADP	2	case	hi
train-s22	4	PRON	5	nmod	en
train-s22	5	NOUN	8	obj	en
train-s22	6	PRON	7	nmod	en
train-s22	7	NOUN	5	conj	en
train-s22	8	VERB	16	csubj	hi
train-s22	9	SCONJ	8	mark	hi
train-s22	10	NOUN	16	obl	hi
train-s22	11	ADP	10	case	hi
train-s22	12	NOUN	15	nmod	hi
train-s22	13	ADP	12	case	hi
train-s22	14	VERB	15	acl	en
train-s22	15	NOUN	16	obj	hi
train-s22	16	VERB	0	root	hi
train-s22	17	AUX	16	aux	hi
train-s23	1	NUM	2	nummod	en
train-s23	2	NOUN	5	obl	en
train-s23	3	ADP	2	case	hi
train-s23	5	VERB	0	root	hi
train-s23	6	NOUN	9	nsubj	en
train-s23	7	AUX	9	cop	en
train-s23	8	PRON	9	nmod	en
train-s23	9	NOUN	5	ccomp	en
train-s24	1	VERB	0	root	en
train-s24	2	ADP	4	case	en
train-s24	3	DET	4	det	en
train-s24	4	NOUN	1	obl	en
train-s24	5	ADV	15	advmod	hi
train-s24	6	PRON	7	nmod	hi
train-s24	7	NOUN	15	nsubj	en
train-s24	8	PART	7	advmod	hi
train-s24	9	NOUN	14	nmod	hi
train-s24	10	ADP	9	case	hi
train-s24	11	ADJ	14	amod	hi
train-s24	12	NOUN	13	obj	hi
train-s24	13	VERB	14	acl	hi
train-s24	14	NOUN	15	obj	hi
train-s24	15	VERB	4	acl:relcl	hi
train-s25	1	PRON	4	nmod	hi
train-s25	2	NUM	4	nummod	hi
train-s25	3	ADJ	4	amod	en
train-s25	4	NOUN	6	nsubj	en
train-s25	5	ADP	4	case	hi
train-s25	6	NOUN	0	root	hi
train-s25	7	PART	6	advmod	hi
train-s25	8	PRON	9	nmod	hi
train-s25	9	NOUN	6	obj	en
train-s26	1	SCONJ	4	mark	hi
train-s26	2	NOUN	3	compound	en
train-s26	3	NOUN	4	nsubj	en
train-s26	4	ADP	11	advcl	en
train-s26	5	AUX	4	cop	hi
train-s26	6	SCONJ	11	mark	hi
train-s26	7	PRON	11	nsubj	hi
train-s26	10	ADP	8	case	hi
train-s26	11	VERB	0	root	hi
train-s27	1	DET	2	det	hi
train-s27	2	NOUN	5	nsubj	hi
train-s27	3	ADJ	4	amod	en
train-s27	4	NOUN	5	compound	en
train-s27	5	VERB	10	acl:relcl	hi
train-s27	6	AUX	5	aux	hi
train-s27	7	PART	5	advmod	hi
train-s27	8	PROPN	9	nsubj	hi
train-s27	9	VERB	0	root	hi
train-s27	10	PRON	11	nmod	hi
train-s27	11	NOUN	14	nsubj	hi
train-s27	12	PART	11	advmod	hi
train-s27	13	ADJ	14	xcomp	en
train-s27	14	VERB	9	ccomp	hi
train-s28	1	VERB	0	root	hi
train-s28	2	ADJ	3	xcomp	hi
train-s28	3	VERB	1	advcl	hi
train-s28	5	PROPN	7	nmod	en
train-s28	6	ADP	5	case	hi
train-s28	7	ADJ	8	amod	en
train-s28	8	NOUN	13	obl	en
train-s28	9	CCONJ	10	cc	hi
train-s28	10	NOUN	8	conj	en
train-s28	11	ADP	8	case	hi
train-s28	12	NOUN	13	compound	hi
train-s28	13	VERB	2	acl	hi
train-s28	14	AUX	13	aux	hi
train-s29	1	VERB	0	root	en
train-s29	2	ADP	4	case	en
train-s29	3	DET	4	det	en
train-s29	4	NOUN	1	obl	en
train-s29	5	ADP	6	case	en
train-s29	6	NOUN	1	obl	hi
train-s29	8	NOUN	1	conj	en
train-s29	9	ADP	10	case	en
train-s29	10	NOUN	8	nmod	en
train-s29	12	NOUN	14	nmod	hi
train-s29	13	ADP	12	case	hi
train-s29	14	NOUN	8	conj	hi
train-s29	15	CCONJ	18	cc	hi
train-s29	16	NUM	18	nummod	hi
train-s29	17	NOUN	18	compound	en
train-s29	18	NOUN	8	conj	en
train-s30	1	ADV	2	advmod	en
train-s30	2	VERB	0	root	en
train-s30	3	ADP	6	case	en
train-s30	4	DET	6	det	en
train-s30	5	NOUN	6	compound	en
train-s30	6	NOUN	2	obl	en
train-s30	10	ADP	9	case	hi
train-s30	11	NOUN	12	compound	hi
train-s30	12	NOUN	14	nsubj	en
train-s30	13	ADV	14	advmod	hi
train-s30	14	ADJ	2	ccomp	en
train-s30	15	AUX	14	cop	hi
train-s31	1	VERB	0	root	en
train-s31	2	ADP	3	case	en
train-s31	3	NOUN	1	obl	en
train-s31	4	VERB	7	xcomp	hi
train-s31	5	SCONJ	4	mark	hi
train-s31	6	PART	7	advmod	hi
train-s31	7	VERB	1	conj	hi
train-s32	1	PRON	2	nsubj	en
train-s32	2	VERB	0	root	en
train-s32	3	PRON	4	nmod	en
train-s32	4	NOUN	2	obj	en
train-s32	5	ADP	7	case	en
train-s32	6	PRON	7	nmod	en
train-s32	7	NOUN	2	obl	en
train-s32	8	CCONJ	16	cc	en
train-s32	9	VERB	2	conj	en
train-s32	11	NOUN	12	vocative	hi
train-s32	12	VERB	16	advcl	hi
train-s32	13	PRON	14	nmod	hi
train-s32	14	NOUN	16	nsubj	hi
train-s32	15	ADV	16	advmod	hi
train-s32	16	VERB	2	conj	hi
train-s33	1	ADV	4	advmod	hi
train-s33	2	ADV	4	advmod	hi
train-s33	3	NOUN	4	nsubj	en
train-s33	4	ADJ	0	root	en
train-s33	5	NOUN	4	nmod	en
train-s34	2	PRON	7	expl	en
train-s34	3	AUX	7	cop	en
train-s34	4	ADV	7	advmod	en
train-s34	5	DET	7	det	en
train-s34	6	ADJ	7	amod	en
train-s34	7	NOUN	0	root	en
train-s34	8	ADP	14	case	en
train-s34	10	PRON	14	nsubj	hi
train-s34	11	DET	12	det	hi
train-s34	12	NOUN	14	compound	hi
train-s34	13	PART	14	advmod	hi
train-s34	14	VERB	7	amod	hi
train-s35	1	DET	2	det	hi
train-s35	2	NOUN	5	nmod	hi
train-s35	3	ADP	2	case	hi
train-s35	4	ADJ	5	amod	en
train-s35	5	NOUN	0	root	en
train-s35	6	AUX	5	cop	hi
train-s35	7	NOUN	5	vocative	hi
train-s36	2	NOUN	4	nmod	en
train-s36	3	ADP	2	case	hi
train-s36	4	NOUN	0	root	hi
train-s36	5	AUX	4	cop	hi
train-s36	7	CCONJ	11	cc	en
train-s36	8	ADV	11	advmod	en
train-s36	9	DET	11	det	en
train-s36	10	ADJ	11	amod	en
train-s36	11	NOUN	4	conj	en
train-s37	2	ADP	1	case	hi
train-s37	3	NOUN	9	nmod	hi
train-s37	4	ADJ	5	amod	en
train-s37	5	NOUN	9	obj	en
train-s37	6	ADP	5	case	hi
train-s37	7	ADP	5	case	hi
train-s37	8	NOUN	9	compound	en
train-s37	9	VERB	0	root	hi
train-s37	10	AUX	9	aux	hi
train-s38	1	PRON	2	nsubj	en
train-s38	2	VERB	0	root	en
train-s38	3	VERB	10	csubj	en
train-s38	5	PROPN	4	flat	hi
train-s38	6	ADP	4	case	hi
train-s38	7	NOUN	3	obj	hi
train-s38	8	AUX	10	cop	en
train-s38	9	DET	10	det	en
train-s38	10	NOUN	2	xcomp	en
train-s38	11	ADP	12	case	en
train-s38	12	NOUN	10	nmod	en
train-s39	1	PRON	5	nsubj	hi
train-s39	2	DET	4	det	hi
train-s39	3	ADJ	4	amod	en
train-s39	4	NOUN	5	obj	en
train-s39	5	VERB	0	root	hi
train-s40	2	PRON	4	iobj	en
train-s40	3	AUX	4	aux	en
train-s40	4	VERB	0	root	en
train-s40	7	NOUN	9	nsubj	en
train-s40	8	ADV	9	advmod	hi
train-s40	9	ADJ	4	ccomp	hi
train-s40	10	AUX	9	cop	hi
train-s41	4	AUX	5	aux	en
train-s41	5	VERB	0	root	en
train-s41	6	DET	7	det	en
train-s41	7	NOUN	5	obj	en
train-s41	8	SCONJ	13	mark	en
train-s41	11	ADP	10	case	hi
train-s41	12	NOUN	13	compound	hi
train-s41	13	VERB	7	acl	hi
train-s41	14	CCONJ	17	cc	hi
train-s41	15	NOUN	17	obj	en
train-s41	16	NOUN	17	compound	hi
train-s41	17	VERB	13	conj	hi
train-s42	1	ADJ	2	amod	hi
train-s42	3	PART	2	advmod	hi
train-s42	4	ADP	5	case	en
train-s42	5	NOUN	6	xcomp	en
train-s42	6	VERB	0	root	hi
train-s42	7	AUX	6	aux	hi
train-s42	8	AUX	6	aux	hi
train-s43	1	DET	3	det	hi
train-s43	2	ADJ	3	amod	hi
train-s43	3	NOUN	5	nsubj	hi
train-s43	4	PRON	5	obj	hi
train-s43	5	VERB	0	root	hi
train-s43	6	ADJ	7	amod	en
train-s43	7	NOUN	10	nsubj	en
train-s43	8	AUX	10	cop	en
train-s43	9	ADV	10	advmod	en
train-s43	10	ADJ	5	advcl	en
train-s44	1	VERB	0	root	en
train-s44	2	NOUN	4	nmod	hi
train-s44	3	ADP	2	case	hi
train-s44	4	NOUN	6	nmod	hi
train-s44	5	ADP	4	case	hi
train-s44	6	NOUN	1	obj	en
train-s45	1	ADJ	2	amod	en
train-s45	2	NOUN	0	root	en
train-s45	3	CCONJ	2	cc	en
train-s45	5	ADP	4	case	hi
train-s45	6	NOUN	2	conj	hi
train-s45	7	ADP	9	case	en
train-s45	8	DET	9	det	en
train-s45	9	NOUN	6	nmod	en
train-s45	10	INTJ	2	discourse	en
train-s46	1	PRON	2	obj	hi
train-s46	2	VERB	0	root	hi
train-s46	3	PART	2	advmod	hi
train-s46	4	PART	2	advmod	hi
train-s46	5	AUX	2	aux	hi
train-s46	6	CCONJ	10	cc	hi
train-s46	7	NOUN	8	nmod	en
train-s46	8	NOUN	10	compound	en
train-s46	9	VERB	10	compound	hi
train-s46	10	VERB	2	conj	hi
train-s46	11	AUX	10	aux	hi
train-s47	1	SCONJ	4	mark	en
train-s47	2	PRON	4	nsubj	en
train-s47	3	AUX	4	cop	en
train-s47	4	ADJ	0	root	en
train-s47	5	SCONJ	9	mark	hi
train-s47	6	NOUN	9	nsubj	hi
train-s47	7	VERB	9	xcomp	hi
train-s47	8	PART	7	advmod	hi
train-s47	9	VERB	2	acl	hi
train-s47	10	AUX	9	aux	hi
train-s48	1	AUX	2	aux	en
train-s48	2	VERB	3	advcl	en
train-s48	3	PROPN	0	root	en
train-s48	4	AUX	3	cop	hi
train-s48	5	PART	3	advmod	hi
train-s49	3	CCONJ	4	cc	en
train-s49	5	ADP	2	case	hi
train-s49	6	ADJ	8	amod	en
train-s49	8	NOUN	11	obl	en
train-s49	9	ADP	8	case	hi
train-s49	10	NOUN	11	obj	en
train-s49	11	VERB	0	root	hi
train-s49	12	PRON	14	expl	en
train-s49	13	AUX	14	cop	en
train-s49	14	PRON	11	nmod	en
train-s50	2	PRON	5	nsubj	en
train-s50	3	AUX	5	aux	en
train-s50	4	PART	5	advmod	en
train-s50	5	VERB	0	root	en
train-s50	6	PRON	14	nsubj	hi
train-s50	7	ADV	14	advmod	hi
train-s50	9	NOUN	11	obj	en
train-s50	11	VERB	13	acl	hi
train-s50	12	SCONJ	11	mark	hi
train-s50	13	NOUN	14	compound	hi
train-s50	14	VERB	5	xcomp	hi
train-s50	15	CCONJ	17	cc	hi
train-s50	16	NOUN	17	nsubj	hi
train-s50	17	VERB	14	conj	hi
train-s51	1	ADV	6	advmod	en
train-s51	2	AUX	6	cop	en
train-s51	3	ADJ	4	amod	hi
train-s51	4	NOUN	6	nsubj	hi
train-s51	5	ADV	6	advmod	en
train-s51	6	ADJ	0	root	en
train-s52	2	NOUN	6	nmod	en
train-s52	3	ADP	2	case	hi
train-s52	4	ADV	8	advmod	hi
train-s52	5	PART	4	advmod	hi
train-s52	6	NOUN	8	obj	en
train-s52	7	ADV	8	compound	en
train-s52	8	VERB	0	root	hi
train-s52	9	AUX	8	aux	hi
train-s52	10	AUX	8	aux	hi
train-s52	12	PRON	13	nsubj	en
train-s52	13	VERB	8	advcl	en
train-s52	14	PART	15	mark	en
train-s52	15	VERB	13	xcomp	en
train-s52	16	PART	17	mark	en
train-s52	17	VERB	15	xcomp	en
train-s52	18	NOUN	17	obj	en
train-s52	19	ADJ	20	amod	en
train-s52	20	NOUN	17	nmod	en
train-s53	1	PRON	3	nmod	en
train-s53	2	ADJ	3	amod	en
train-s53	3	NOUN	4	nmod	en
train-s53	4	PRON	5	vocative	hi
train-s53	5	VERB	0	root	hi
train-s53	6	PART	5	advmod	hi
train-s53	7	AUX	5	aux	hi
train-s53	8	AUX	5	aux	hi
train-s53	9	CCONJ	10	cc	hi
train-s53	10	PART	5	conj	hi
train-s54	1	NOUN	3	advmod	hi
train-s54	2	ADP	1	case	hi
train-s54	3	VERB	7	csubj	hi
train-s54	4	AUX	7	cop	en
train-s54	5	DET	7	det	en
train-s54	6	DET	7	det	en
train-s54	7	NOUN	0	root	en
train-s55	1	NOUN	2	obj	en
train-s55	2	VERB	10	advcl	hi
train-s55	3	AUX	2	aux	hi
train-s55	4	PRON	10	obl	hi
train-s55	5	ADP	4	case	hi
train-s55	6	NOUN	8	nmod	hi
train-s55	7	ADP	6	case	hi
train-s55	8	NOUN	10	obj	en
train-s55	9	NOUN	10	compound	en
train-s55	10	VERB	0	root	hi
train-s56	1	NOUN	2	nsubj	en
train-s56	2	VERB	0	root	en
train-s56	3	PRON	2	obj	en
train-s56	4	SCONJ	5	mark	en
train-s56	5	VERB	2	advcl	en
train-s56	7	NOUN	13	vocative	hi
train-s56	8	PRON	13	nsubj	hi
train-s56	9	ADP	8	case	hi
train-s56	10	PART	8	advmod	hi
train-s56	11	ADV	13	advmod	hi
train-s56	12	ADJ	13	compound	en
train-s56	13	VERB	5	xcomp	hi
train-s56	14	AUX	13	aux	hi
train-s56	15	AUX	13	aux	hi
train-s56	16	NOUN	13	obj	en
train-s57	1	NOUN	4	obj	hi
train-s57	2	ADP	1	case	hi
train-s57	3	NOUN	4	compound	hi
train-s57	4	VERB	9	csubj	hi
train-s57	5	AUX	9	cop	en
train-s57	6	PART	7	advmod	en
train-s57	7	NOUN	9	nmod	en
train-s57	8	DET	9	det	en
train-s57	9	NOUN	0	root	hi
train-s57	11	NOUN	9	conj	hi
train-s57	12	ADP	14	case	en
train-s57	13	DET	14	det	en
train-s57	14	NOUN	9	nmod	en
train-s57	15	DET	16	det	en
train-s57	16	NOUN	9	nmod	en
train-s58	1	PRON	3	nsubj	hi
train-s58	2	DET	3	det	hi
train-s58	3	NOUN	0	root	en
train-s58	4	ADP	5	case	en
train-s58	5	NOUN	3	nmod	en
train-s58	6	AUX	3	cop	hi
train-s58	7	SCONJ	10	mark	hi
train-s58	8	NOUN	10	obl	hi
train-s58	9	ADP	8	case	hi
train-s58	10	VERB	3	acl	hi
train-s58	11	AUX	10	aux	hi
train-s59	1	DET	2	det	en
train-s59	2	NOUN	19	nsubj	en
train-s59	3	PRON	4	nsubj	en
train-s59	4	VERB	2	acl	en
train-s59	6	NOUN	7	obj	hi
train-s59	7	VERB	9	advcl	hi
train-s59	8	NOUN	9	obj	hi
train-s59	9	VERB	4	xcomp	hi
train-s59	12	VERB	13	advcl	hi
train-s59	13	VERB	9	conj	hi
train-s59	14	AUX	13	aux	hi
train-s59	16	AUX	19	cop	en
train-s59	17	ADV	19	advmod	en
train-s59	18	ADV	19	advmod	en
train-s59	19	ADJ	0	root	en
train-s60	2	PRON	3	nsubj	en
train-s60	3	VERB	0	root	en
train-s60	4	VERB	3	xcomp	en
train-s60	6	DET	7	det	hi
train-s60	7	NOUN	9	nmod	hi
train-s60	8	PART	7	advmod	hi
train-s60	9	ADJ	11	advcl	hi
train-s60	10	AUX	9	cop	hi
train-s60	11	VERB	4	xcomp	hi
train-s60	12	AUX	11	aux	hi
train-s61	3	ADP	4	case	en
train-s61	5	AUX	8	cop	en
train-s61	6	DET	8	det	en
train-s61	7	ADJ	8	amod	hi
train-s61	8	NOUN	0	root	hi
train-s62	2	PRON	3	nmod	hi
train-s62	3	NOUN	7	obj	en
train-s62	4	ADV	7	advmod	hi
train-s62	5	ADJ	7	acl	hi
train-s62	6	NOUN	7	compound	en
train-s62	7	VERB	0	root	hi
train-s62	8	AUX	7	aux	hi
train-s63	1	NOUN	3	nsubj	hi
train-s63	2	AUX	3	cop	en
train-s63	3	ADJ	0	root	en
train-s63	4	ADV	6	mark	en
train-s63	5	PRON	6	nsubj	en
train-s63	6	VERB	3	advcl	en
train-s63	7	PRON	10	nsubj	hi
train-s63	8	ADJ	10	xcomp	hi
train-s63	9	PART	8	advmod	hi
train-s63	10	VERB	6	xcomp	hi
train-s63	11	AUX	10	aux	hi
train-s64	2	PART	1	case	en
train-s64	4	AUX	6	cop	en
train-s64	5	DET	6	det	en
train-s64	6	ADJ	0	root	en
train-s64	7	CCONJ	16	cc	en
train-s64	8	NOUN	9	compound	en
train-s64	9	NOUN	16	obl	en
train-s64	10	ADP	9	case	hi
train-s64	11	ADV	12	advmod	hi
train-s64	12	DET	13	det	hi
train-s64	13	NOUN	16	nsubj	hi
train-s64	14	PRON	16	obl	hi
train-s64	15	ADP	14	case	hi
train-s64	16	VERB	6	conj	hi
train-s64	17	AUX	16	aux	hi
train-s64	18	AUX	16	aux	hi
train-s64	21	ADV	22	advmod	en
train-s64	22	PROPN	23	nsubj	en
train-s64	23	VERB	16	advcl	en
train-s65	2	PRON	20	vocative	en
train-s65	3	PRON	2	nmod	en
train-s65	4	AUX	5	aux	en
train-s65	5	VERB	1	acl:relcl	en
train-s65	6	PART	7	mark	en
train-s65	7	VERB	5	xcomp	en
train-s65	8	PRON	5	iobj	en
train-s65	10	ADV	12	nmod	hi
train-s65	11	ADP	10	case	hi
train-s65	12	ADJ	17	nmod	en
train-s65	13	CCONJ	16	cc	hi
train-s65	14	PRON	16	nmod	hi
train-s65	15	ADP	14	case	hi
train-s65	16	ADJ	12	conj	en
train-s65	17	VERB	20	advcl	hi
train-s65	18	NOUN	20	obl	hi
train-s65	19	ADP	18	case	hi
train-s65	20	VERB	0	root	hi
train-s66	1	ADJ	2	amod	en
train-s66	2	NOUN	6	nsubj	en
